id,song,stem,condition,domain,ld,ld_loudness_matched,absolute_lufs_difference,absolute_crest_difference_db,centered_envelope_rmse_db,centered_band_rmse_db,max_stage_clipped_fraction
history_007_drums,PR - Happy Daze,drums,identity,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_007_drums,PR - Happy Daze,drums,gain_minus6,input,1.1806690692901611,8.597552550781984e-06,6.000000470823249,3.0629146863248025e-07,5.439226990732306e-07,6.823937837907579e-06,0.0
history_007_drums,PR - Happy Daze,drums,gain_minus6,normalized,0.004344212356954813,0.004349607042968273,6.252258089034513e-07,2.9221257022982172e-06,0.0002726690903459099,7.817802725185174e-06,0.0
history_007_drums,PR - Happy Daze,drums,gain_plus6,input,1.6829475164413452,9.910798326018266e-06,5.999999825490171,2.1362438928917982e-08,1.440175306758226e-07,4.825252744922182e-06,0.0
history_007_drums,PR - Happy Daze,drums,gain_plus6,normalized,0.0028263870626688004,0.0028263870626688004,3.633091480992334e-07,1.5131970343418288e-06,8.50242310775941e-05,5.909703759243712e-06,0.0
history_007_drums,PR - Happy Daze,drums,eq_minus6,input,0.16969367861747742,0.18830415606498718,0.514063954597642,0.6646385276038398,0.963512054342352,1.7669669389724731,0.0
history_007_drums,PR - Happy Daze,drums,eq_minus6,normalized,0.19961439073085785,0.19958558678627014,0.012797433092529786,0.7540449532640139,0.4629562374503938,0.1685210019350052,0.0
history_007_drums,PR - Happy Daze,drums,eq_plus6,input,0.24329881370067596,0.2758388817310333,0.938219736153556,1.7523636419638908,1.1683192193039305,1.8550171852111816,0.0
history_007_drums,PR - Happy Daze,drums,eq_plus6,normalized,1.6702065467834473,1.6713075637817383,0.020856038772187446,0.015808227490346383,1.0002520661451826,0.26282525062561035,0.0
history_007_drums,PR - Happy Daze,drums,comp_ratio2,input,0.5795186758041382,0.4819890856742859,3.5420322546771175,1.9690176209554124,2.0605970294279317,1.4882184267044067,0.0
history_007_drums,PR - Happy Daze,drums,comp_ratio2,normalized,0.4464913308620453,0.44586730003356934,0.036373948395727496,2.7380375030545103,1.6343921724277273,0.6131832003593445,0.0
history_007_drums,PR - Happy Daze,drums,comp_ratio4,input,0.7975629568099976,0.7179675102233887,4.935797278531023,3.79489114525607,3.083458405454809,2.2568440437316895,0.0
history_007_drums,PR - Happy Daze,drums,comp_ratio4,normalized,0.5461444854736328,0.5454268455505371,0.027322814233777137,2.761562122916125,1.9457525136312839,0.6742294430732727,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,identity,input,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,identity,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,gain_minus6,input,1.1722992658615112,5.711933681595838e-06,6.000000489794612,2.808404282461652e-07,1.5191184904465534e-07,1.332416468358133e-05,0.0
