encoder,id,song,stem,domain,condition,cosine_distance
relativefx,history_001_other,Georgia Wonder - Siren,other,normalized,eq_minus6,0.0005195736885070801
relativefx,history_001_other,Georgia Wonder - Siren,other,normalized,eq_plus6,0.0009101629257202148
relativefx,history_001_other,Georgia Wonder - Siren,other,normalized,comp_ratio2,0.013051390647888184
relativefx,history_001_other,Georgia Wonder - Siren,other,normalized,comp_ratio4,0.15808874368667603
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,input,identity,-2.384185791015625e-07
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,input,gain_minus6,0.17862612009048462
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,input,gain_plus6,0.2112637162208557
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,input,eq_minus6,0.07005232572555542
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,input,eq_plus6,0.05600780248641968
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,input,comp_ratio2,0.12133878469467163
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,input,comp_ratio4,0.17035961151123047
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,normalized,identity,0.0
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,normalized,gain_minus6,6.556510925292969e-07
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,normalized,gain_plus6,1.2516975402832031e-06
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,normalized,eq_minus6,0.004331469535827637
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,normalized,eq_plus6,0.0004487037658691406
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,normalized,comp_ratio2,0.05038052797317505
relativefx,history_002_bass,We Fell From The Sky - Not You,bass,normalized,comp_ratio4,0.03819680213928223
relativefx,history_002_drums,PR - Oh No,drums,input,identity,-2.384185791015625e-07
relativefx,history_002_drums,PR - Oh No,drums,input,gain_minus6,0.1503731608390808
relativefx,history_002_drums,PR - Oh No,drums,input,gain_plus6,0.22069358825683594
relativefx,history_002_drums,PR - Oh No,drums,input,eq_minus6,0.07894545793533325
relativefx,history_002_drums,PR - Oh No,drums,input,eq_plus6,0.11184698343276978
relativefx,history_002_drums,PR - Oh No,drums,input,comp_ratio2,0.11258459091186523
relativefx,history_002_drums,PR - Oh No,drums,input,comp_ratio4,0.17222672700881958
relativefx,history_002_drums,PR - Oh No,drums,normalized,identity,-1.1920928955078125e-07
relativefx,history_002_drums,PR - Oh No,drums,normalized,gain_minus6,0.0
relativefx,history_002_drums,PR - Oh No,drums,normalized,gain_plus6,1.1920928955078125e-07
relativefx,history_002_drums,PR - Oh No,drums,normalized,eq_minus6,1.1265277862548828e-05
relativefx,history_002_drums,PR - Oh No,drums,normalized,eq_plus6,4.3332576751708984e-05
relativefx,history_002_drums,PR - Oh No,drums,normalized,comp_ratio2,0.034793198108673096
relativefx,history_002_drums,PR - Oh No,drums,normalized,comp_ratio4,0.05510073900222778
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,input,identity,-3.5762786865234375e-07
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,input,gain_minus6,0.13121312856674194
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,input,gain_plus6,0.2227916121482849
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,input,eq_minus6,0.0618014931678772
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,input,eq_plus6,0.11513584852218628
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,input,comp_ratio2,0.1252206563949585
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,input,comp_ratio4,0.20443713665008545
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,normalized,identity,-2.384185791015625e-07
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,normalized,gain_minus6,-1.1920928955078125e-07
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,normalized,gain_plus6,-1.1920928955078125e-07
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,normalized,eq_minus6,0.05691850185394287
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,normalized,eq_plus6,8.511543273925781e-05
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,normalized,comp_ratio2,0.02558588981628418
relativefx,history_002_vocals,Sambasevam Shanmugam - Kaathaadi,vocals,normalized,comp_ratio4,0.07350128889083862
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,input,identity,-1.1920928955078125e-07
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,input,gain_minus6,0.10454815626144409
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,input,gain_plus6,0.18778765201568604
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,input,eq_minus6,0.0963447093963623
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,input,eq_plus6,0.07244342565536499
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,input,comp_ratio2,0.175018310546875
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,input,comp_ratio4,0.25037258863449097
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,normalized,identity,-3.5762786865234375e-07
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,normalized,gain_minus6,0.0
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,normalized,gain_plus6,0.0
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,normalized,eq_minus6,0.00034993886947631836
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,normalized,eq_plus6,0.00018584728240966797
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,normalized,comp_ratio2,0.08278101682662964
relativefx,history_002_other,Enda Reilly - Cur An Long Ag Seol,other,normalized,comp_ratio4,0.22443580627441406
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,input,identity,-1.1920928955078125e-07
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,input,gain_minus6,0.1904887557029724
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,input,gain_plus6,0.25145018100738525
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,input,eq_minus6,0.07315939664840698
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,input,eq_plus6,0.06518065929412842
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,input,comp_ratio2,0.10941147804260254
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,input,comp_ratio4,0.1757611632347107
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,normalized,identity,0.0
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,normalized,gain_minus6,5.960464477539062e-07
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,normalized,gain_plus6,4.172325134277344e-07
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,normalized,eq_minus6,2.962350845336914e-05
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,normalized,eq_plus6,4.3451786041259766e-05
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,normalized,comp_ratio2,0.057235538959503174
relativefx,history_003_bass,Girls Under Glass - We Feel Alright,bass,normalized,comp_ratio4,0.0600132942199707
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,input,identity,-3.5762786865234375e-07
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,input,gain_minus6,0.10469305515289307
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,input,gain_plus6,0.18125677108764648
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,input,eq_minus6,0.12148493528366089
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,input,eq_plus6,0.12439185380935669
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,input,comp_ratio2,0.1942216157913208
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,input,comp_ratio4,0.2686300277709961
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,normalized,identity,-2.384185791015625e-07
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,normalized,gain_minus6,0.0
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,normalized,gain_plus6,-1.1920928955078125e-07
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,normalized,eq_minus6,7.3909759521484375e-06
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,normalized,eq_plus6,2.2292137145996094e-05
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,normalized,comp_ratio2,0.0664777159690857
relativefx,history_003_drums,Signe Jakobsen - What Have You Done To Me,drums,normalized,comp_ratio4,0.12524616718292236
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,input,identity,-2.384185791015625e-07
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,input,gain_minus6,0.08204984664916992
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,input,gain_plus6,0.14321327209472656
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,input,eq_minus6,0.04269611835479736
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,input,eq_plus6,0.07600551843643188
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,input,comp_ratio2,0.024074316024780273
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,input,comp_ratio4,0.04030495882034302
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,normalized,identity,-3.5762786865234375e-07
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,normalized,gain_minus6,-2.384185791015625e-07
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,normalized,gain_plus6,-2.384185791015625e-07
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,normalized,eq_minus6,1.3768672943115234e-05
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,normalized,eq_plus6,0.00025898218154907227
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,normalized,comp_ratio2,0.011628150939941406
relativefx,history_003_vocals,Nerve 9 - Pray For The Rain,vocals,normalized,comp_ratio4,0.03270900249481201
relativefx,history_003_other,Secretariat - Borderline,other,input,identity,-1.1920928955078125e-07
relativefx,history_003_other,Secretariat - Borderline,other,input,gain_minus6,0.10220640897750854
relativefx,history_003_other,Secretariat - Borderline,other,input,gain_plus6,0.188501238822937
relativefx,history_003_other,Secretariat - Borderline,other,input,eq_minus6,0.08241617679595947
relativefx,history_003_other,Secretariat - Borderline,other,input,eq_plus6,0.07084375619888306
relativefx,history_003_other,Secretariat - Borderline,other,input,comp_ratio2,0.11030739545822144
relativefx,history_003_other,Secretariat - Borderline,other,input,comp_ratio4,0.1540105938911438
relativefx,history_003_other,Secretariat - Borderline,other,normalized,identity,-1.1920928955078125e-07
relativefx,history_003_other,Secretariat - Borderline,other,normalized,gain_minus6,-1.1920928955078125e-07
relativefx,history_003_other,Secretariat - Borderline,other,normalized,gain_plus6,-1.1920928955078125e-07
relativefx,history_003_other,Secretariat - Borderline,other,normalized,eq_minus6,0.000689387321472168
relativefx,history_003_other,Secretariat - Borderline,other,normalized,eq_plus6,0.002510547637939453
relativefx,history_003_other,Secretariat - Borderline,other,normalized,comp_ratio2,0.12314265966415405
relativefx,history_003_other,Secretariat - Borderline,other,normalized,comp_ratio4,0.12813669443130493
relativefx,history_004_bass,Zeno - Signs,bass,input,identity,-2.384185791015625e-07
relativefx,history_004_bass,Zeno - Signs,bass,input,gain_minus6,0.12020230293273926
relativefx,history_004_bass,Zeno - Signs,bass,input,gain_plus6,0.3518742322921753
relativefx,history_004_bass,Zeno - Signs,bass,input,eq_minus6,0.05841350555419922
relativefx,history_004_bass,Zeno - Signs,bass,input,eq_plus6,0.060516953468322754
relativefx,history_004_bass,Zeno - Signs,bass,input,comp_ratio2,0.13381069898605347
relativefx,history_004_bass,Zeno - Signs,bass,input,comp_ratio4,0.18230432271957397
relativefx,history_004_bass,Zeno - Signs,bass,normalized,identity,0.0
relativefx,history_004_bass,Zeno - Signs,bass,normalized,gain_minus6,5.960464477539063e-08
relativefx,history_004_bass,Zeno - Signs,bass,normalized,gain_plus6,8.940696716308594e-07
relativefx,history_004_bass,Zeno - Signs,bass,normalized,eq_minus6,0.00010269880294799805
relativefx,history_004_bass,Zeno - Signs,bass,normalized,eq_plus6,4.470348358154297e-05
relativefx,history_004_bass,Zeno - Signs,bass,normalized,comp_ratio2,0.12439382076263428
relativefx,history_004_bass,Zeno - Signs,bass,normalized,comp_ratio4,0.13268417119979858
relativefx,history_004_drums,BKS - Bulldozer,drums,input,identity,-3.5762786865234375e-07
relativefx,history_004_drums,BKS - Bulldozer,drums,input,gain_minus6,0.12164056301116943
relativefx,history_004_drums,BKS - Bulldozer,drums,input,gain_plus6,0.19030970335006714
relativefx,history_004_drums,BKS - Bulldozer,drums,input,eq_minus6,0.09677410125732422
relativefx,history_004_drums,BKS - Bulldozer,drums,input,eq_plus6,0.10928595066070557
relativefx,history_004_drums,BKS - Bulldozer,drums,input,comp_ratio2,0.20633530616760254
relativefx,history_004_drums,BKS - Bulldozer,drums,input,comp_ratio4,0.2697731852531433
relativefx,history_004_drums,BKS - Bulldozer,drums,normalized,identity,-2.384185791015625e-07
relativefx,history_004_drums,BKS - Bulldozer,drums,normalized,gain_minus6,-2.384185791015625e-07
relativefx,history_004_drums,BKS - Bulldozer,drums,normalized,gain_plus6,-3.5762786865234375e-07
relativefx,history_004_drums,BKS - Bulldozer,drums,normalized,eq_minus6,5.245208740234375e-06
relativefx,history_004_drums,BKS - Bulldozer,drums,normalized,eq_plus6,2.47955322265625e-05
relativefx,history_004_drums,BKS - Bulldozer,drums,normalized,comp_ratio2,0.03494030237197876
relativefx,history_004_drums,BKS - Bulldozer,drums,normalized,comp_ratio4,0.053882718086242676
relativefx,history_004_vocals,Secretariat - Borderline,vocals,input,identity,-2.384185791015625e-07
relativefx,history_004_vocals,Secretariat - Borderline,vocals,input,gain_minus6,0.12276571989059448
relativefx,history_004_vocals,Secretariat - Borderline,vocals,input,gain_plus6,0.18311262130737305
relativefx,history_004_vocals,Secretariat - Borderline,vocals,input,eq_minus6,0.060838520526885986
relativefx,history_004_vocals,Secretariat - Borderline,vocals,input,eq_plus6,0.06499099731445312
relativefx,history_004_vocals,Secretariat - Borderline,vocals,input,comp_ratio2,0.07997399568557739
relativefx,history_004_vocals,Secretariat - Borderline,vocals,input,comp_ratio4,0.13124465942382812
relativefx,history_004_vocals,Secretariat - Borderline,vocals,normalized,identity,-3.5762786865234375e-07
relativefx,history_004_vocals,Secretariat - Borderline,vocals,normalized,gain_minus6,-1.1920928955078125e-07
relativefx,history_004_vocals,Secretariat - Borderline,vocals,normalized,gain_plus6,-2.384185791015625e-07
relativefx,history_004_vocals,Secretariat - Borderline,vocals,normalized,eq_minus6,6.783008575439453e-05
relativefx,history_004_vocals,Secretariat - Borderline,vocals,normalized,eq_plus6,0.0017365217208862305
relativefx,history_004_vocals,Secretariat - Borderline,vocals,normalized,comp_ratio2,0.01224440336227417
relativefx,history_004_vocals,Secretariat - Borderline,vocals,normalized,comp_ratio4,0.035435259342193604
relativefx,history_004_other,Triviul feat. The Fiend - Widow,other,input,identity,-1.1920928955078125e-07
relativefx,history_004_other,Triviul feat. The Fiend - Widow,other,input,gain_minus6,0.08664000034332275
relativefx,history_004_other,Triviul feat. The Fiend - Widow,other,input,gain_plus6,0.1234864592552185
relativefx,history_004_other,Triviul feat. The Fiend - Widow,other,input,eq_minus6,0.034165918827056885
relativefx,history_004_other,Triviul feat. The Fiend - Widow,other,input,eq_plus6,0.06158405542373657
relativefx,history_004_other,Triviul feat. The Fiend - Widow,other,input,comp_ratio2,0.09415185451507568
relativefx,history_004_other,Triviul feat. The Fiend - Widow,other,input,comp_ratio4,0.16375881433486938
relativefx,history_004_other,Triviul feat. The Fiend - Widow,other,normalized,identity,-2.384185791015625e-07
